# This is the site / region geographic boundary conditions file. Columns are separated by commas. For site locations xrange/yrange are scalars. 
No.,    Abbr.,  Name,                           xmin,           xmax,           ymin,           ymax,           deltax,         deltay,         Sitetype,       Projection,     Projparam,      Elevation
  1,    G0001,                     bar_all0001,    -118.250,    -117.750,      38.250,      38.750,       0.500,       0.500,    grid,  latitude_longitude,      NA,    1787
  2,    G0002,                     bar_all0002,     -69.250,     -68.750,      67.500,      68.000,       0.500,       0.500,    grid,  latitude_longitude,      NA,     418
  3,    G0003,                     bar_all0003,     117.250,     117.750,     -24.500,     -24.000,       0.500,       0.500,    grid,  latitude_longitude,      NA,     476
  4,    G0004,                     bar_all0004,      38.250,      38.750,      33.750,      34.250,       0.500,       0.500,    grid,  latitude_longitude,      NA,     611
  5,    G0005,                     enf_tem0005,    -123.750,    -123.250,      43.000,      43.500,       0.500,       0.500,    grid,  latitude_longitude,      NA,     365
  6,    G0006,                     enf_tem0006,     118.500,     119.000,      27.750,      28.250,       0.500,       0.500,    grid,  latitude_longitude,      NA,     634
  7,    G0007,                     enf_tem0007,     172.250,     172.750,     -42.250,     -41.750,       0.500,       0.500,    grid,  latitude_longitude,      NA,     924
  8,    G0008,                     enf_tem0008,      28.000,      28.500,      51.750,      52.250,       0.500,       0.500,    grid,  latitude_longitude,      NA,     135
  9,    G0009,                  BOREAS_NSA_OBS,     -98.700,     -98.200,      55.600,      56.100,       0.500,       0.500,    grid,  latitude_longitude,      NA,     259
 10,    G0010,                     enf_bor0010,     -62.250,     -61.750,      51.750,      52.250,       0.500,       0.500,    grid,  latitude_longitude,      NA,     445
 11,    G0011,                     enf_bor0011,      51.250,      51.750,      60.250,      60.750,       0.500,       0.500,    grid,  latitude_longitude,      NA,     181
 12,    G0012,                     enf_bor0012,     100.250,     100.750,      57.750,      58.250,       0.500,       0.500,    grid,  latitude_longitude,      NA,     294
 13,    G0013,                     dnf_bor0013,     132.000,     132.500,      62.250,      62.750,       0.500,       0.500,    grid,  latitude_longitude,      NA,     203
 14,    G0014,                     dnf_bor0014,     116.500,     117.000,      63.750,      64.250,       0.500,       0.500,    grid,  latitude_longitude,      NA,     178
 15,    G0015,                     dnf_bor0015,     104.750,     105.250,      62.500,      63.000,       0.500,       0.500,    grid,  latitude_longitude,      NA,     364
